PuzzleId,FEN,Moves,Rating,Themes
0Z5vT,2rq1rk1/1p1bbppp/4p3/4P3/1pPP2P1/3Q1N2/5P1P/RB3R1K b - - 1 20,d7c6 d3h7,400,kingsideAttack
H6zTb,8/8/1p6/1P1K4/p3N3/8/1k6/8 w - - 1 74,d5c6 a4a3 c6b6 a3a2 b6c6 a2a1q,400,promotion
0PPPx,r1b2r2/4bppk/ppp4p/5P2/2q1P1n1/2N3Q1/PPP3PP/R1B2R1K w - - 0 17,g3g4 c4f1,404,kingsideAttack
0Fb5d,1Q2kb1r/p1prpppp/6b1/4q3/6P1/2N4P/PPn3K1/R1BR4 b k - 1 16,d7d8 d1d8,407,mateIn1
0BQPl,r3R1k1/5n1p/p2p1Bp1/1ppP4/2P2P2/7q/P3Q3/6K1 b - - 1 29,a8e8 e2e8,408,mateIn1
088yl,1rk1q3/1p1n3p/p2Prnp1/2p5/P4B2/1Q3B1P/1P3PP1/R4RK1 w - - 2 25,f1e1 e6e1 a1e1 e8e1,414,kingsideAttack
1OKO0,4r2k/1p4pp/p3Qb2/3p4/8/PP4PP/2R4K/8 b - - 0 37,e8e6 c2c8 f6d8 c8d8 e6e8 d8e8,415,backRankMate
0vTpF,3r2k1/6p1/2b4p/b3p3/P7/1P2B3/5PPP/2R3K1 w - - 0 44,c1c6 d8d1,418,backRankMate
0YtJI,2R3k1/p4ppp/4rb2/1r1p4/8/PP2P2P/5PP1/4RK2 b - - 1 28,e6e8 c8e8,419,backRankMate
0FxWD,2r2rk1/pp1b1pp1/5q1p/3pp3/1Pn5/P2QPP2/1PB1N1PP/2R2RK1 b - - 3 20,c4b2 d3h7,424,mateIn1
0C7r0,4r1kB/pp3p1p/1np5/8/3R4/6P1/P3QP1P/6K1 b - - 0 23,e8e2 d4d8 e2e8 d8e8,429,mateIn2
0Xrd8,1q3rk1/p1pQ1ppp/3b4/4p3/2P5/4B3/P2R1PPP/Rr4K1 w - - 1 19,a1b1 b8b1 d2d1 b1d1,431,backRankMate mateIn2
48Lni,4r1k1/1pp2ppp/1p6/4Q3/8/2P5/PP3PPP/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,431,rookEndgame
4UWlh,3k4/1R3p2/3Kp2p/8/p1r5/1p3P2/5P2/8 b - - 1 39,d8e8 b7b8 c4c8 b8c8,436,rookEndgame
0URgB,3r3k/pq4pp/4Qr2/3R4/2p1p3/8/P1P2PPP/3R2K1 b - - 0 30,f6e6 d5d8 e6e8 d8e8,438,backRankMate hangingPiece mateIn2
08FDm,4r1k1/2p2ppp/3pq3/1Q6/2r5/2P5/P4PPP/R4RK1 w - - 3 23,f1e1 e6e1 a1e1 e8e1,441,backRankMate mateIn2
29wyw,8/p5kp/r5p1/2r5/8/4P3/5PPP/2R3K1 w - - 0 31,c1c5 a6a1 c5c1 a1c1,446,rookEndgame
06IuL,1r4k1/p1p2ppp/3p4/2pRR3/8/1P6/PqP2PPP/3Q2K1 b - - 0 20,d6e5 d5d8 b8d8 d1d8,447,backRankMate mateIn2
0AcJu,2k5/5r2/R1P1p3/6Pb/8/8/P7/4K3 b - - 0 47,f7c7 a6a8,449,mateIn1
BQFpb,8/8/8/1K1p1P2/3k4/8/8/8 b - - 0 47,d4e4 f5f6 d5d4 f6f7 d4d3 f7f8q,449,advancedPawn pawnEndgame promotion
0YPDM,k5r1/pp3Q2/1p6/1q6/1P6/8/Pb2RPP1/5KNr b - - 1 32,g8e8 f7e8 b5e8 e2e8,450,backRankMate mateIn2
06XTF,r4r1k/1p1R2pn/p3Q3/8/8/1P6/P5PP/4Rq1K w - - 2 26,e1f1 f8f1,451,backRankMate mateIn1
0yWBt,7k/pp4p1/8/5p2/1P1b1P2/P1r5/5PPP/3R3K w - - 0 27,d1d4 c3c1 d4d1 c1d1,451,backRankMate mateIn2 rookEndgame
155f3,2Q3k1/q2b1ppp/1b1p4/p2Pp3/Pp2P3/1P1N2nP/2R2PB1/6K1 b - - 1 33,d7c8 c2c8 b6d8 c8d8,451,backRankMate
07lbv,5rk1/p2r1ppp/2Q2n2/8/3Pp3/P1P1R3/P4PPP/R1Bq2K1 w - - 1 18,e3e1 d1e1,454,kingsideAttack mateIn1
0n4IE,6k1/5ppb/p6p/8/BP2n3/4PN2/6PP/2rR2K1 b - - 2 30,c1c3 d1d8,454,backRankMate
4QNH1,8/8/4P3/1R6/P7/1P4kP/4r3/6K1 w - - 4 55,a4a5 e2e1,456,rookEndgame
0xOUn,rR4k1/5pp1/p2P3p/4P3/4BP2/2r5/3p3P/1R4K1 b - - 1 31,a8b8 b1b8 c3c8 b8c8,457,mateIn2
0uVXw,r1b2rk1/ppppn1p1/7p/4P3/8/1PN5/P5PP/R1BQ1q1K w - - 2 16,d1f1 f8f1,464,backRankMate
12Vj1,2r5/4R2p/3b2pk/1pP5/8/1B6/P4PPP/6K1 w - - 0 31,c5d6 c8c1 b3d1 c1d1 e7e1 d1e1,464,backRankMate
AyiML,1r4k1/1pp2ppp/R1p5/5P2/4r3/5N2/1R4PP/6K1 b - - 0 23,b7a6 b2b8 e4e8 b8e8,468,hangingPiece
4IIbg,k6r/pp3pp1/7p/5B2/8/1PR1R3/5PPP/qQ1r2K1 w - - 1 25,b1d1 a1d1 e3e1 d1e1,469,hangingPiece
0l7TR,8/8/1p4P1/p4k1K/P3p3/8/1P2R3/5r2 w - - 1 42,e2g2 f1h1 g2h2 h1h2,470,mateIn2 rookEndgame
2FnxR,8/8/3k2pp/8/5PP1/3pK2P/2r5/3R4 b - - 5 52,c2c3 d1d3 c3d3 e3d3,470,rookEndgame
15Fdq,1k4r1/ppp1n3/7r/3P4/5p2/8/PBP1RKP1/4R3 b - - 0 28,e7d5 e2e8 g8e8 e1e8,471,backRankMate
DBoQx,8/7p/p7/2k1KP2/1p5P/8/8/8 b - - 0 50,b4b3 f5f6 c5c4 f6f7 b3b2 f7f8q,471,pawnEndgame promotion
08uwL,4Rq1k/nr4p1/pp1p3p/2pP1BbQ/1PP5/P7/5P1P/6K1 b - - 1 31,f8e8 h5e8,475,kingsideAttack mateIn1
0CjII,4rrk1/2qn1ppp/1ppp1R1B/p7/P2PP1Q1/2N5/1PP3PP/R5K1 b - - 0 19,d7f6 g4g7,475,kingsideAttack mateIn1
00CFp,rn1q3k/pp4pp/1b2B3/4N3/5r2/2p5/PP4PP/RN3Q1K w - - 0 16,f1f4 d8d1 f4f1 d1f1,477,kingsideAttack mateIn2
08wWv,2k5/ppp2ppp/1r6/8/2P3q1/N3Q1Pb/PP3P1P/R5K1 b - - 0 20,b6b2 e3e8,478,mateIn1
0LY3P,r4rk1/pp2pp1p/3p2p1/1B4N1/4P3/7Q/5P2/bq3NK1 b - - 3 24,b1b5 h3h7,478,mateIn1
1I20Z,2r3k1/qB3ppp/4p3/8/8/6P1/P2Q1P1P/3R2K1 b - - 0 27,a7b7 d2d8 c8d8 d1d8,479,backRankMate
1SEgI,1k6/2p4r/8/2P5/1p1p4/p7/PPP5/1K2R3 w - - 0 46,e1e4 h7h1 e4e1 h1e1,479,rookEndgame
08CSo,6k1/p7/1pp1r3/6P1/2n1BP2/2P5/P1P4R/2K5 w - - 5 31,e4d3 e6e1,480,mateIn1
