PuzzleId,FEN,Moves,Rating,Themes
00B8m,3b4/3P4/pp2Pk2/5r2/P6p/3Q4/8/7K w - - 1 43,d3f5 f6f5 e6e7 d8e7 d7d8q e7d8,1275,crushing endgame hangingPiece long
00LUZ,rnb1k1nr/1ppp1ppp/8/p1bPp3/4P2q/2PB4/PP3PPP/RNBQK1NR w KQkq - 3 6,g1f3 h4f2,702,attackingF2F7 mate mateIn1 oneMove opening
00LZf,r1b1kb1r/pppp1ppp/2n1p3/3nN3/3P2q1/4B3/PPP1BPPP/RN1Q1RK1 b kq - 9 8,d5e3 f2e3 g4g5 e5f7 g5e3 g1h1,2185,advantage attackingF2F7 fork long opening
00NHK,r1b2rk1/1p2b1p1/pqn1p1P1/3pP3/1P1P4/P1N1P3/6P1/R2QK2R b KQ - 0 17,c6e5 h1h8 g8h8 d1h5 h8g8 h5h7,1796,attraction fork long mate mateIn3 middlegame sacrifice
00ON5,8/k1p5/P7/3N4/3P2pp/3K2n1/6P1/8 w - - 1 47,d3e3 h4h3 e3f2 h3h2 f2g3 h2h1q,1825,advancedPawn crushing endgame knightEndgame long promotion
00Q8H,8/5b2/3k3p/6p1/3P1pP1/2N2K1P/8/8 w - - 6 48,h3h4 f7d5 f3f2 g5h4,1689,crushing endgame short
00R8C,r4q1k/2bn2p1/2p3pp/1pP5/1P1B2P1/1Q1P1r1P/5PB1/4RRK1 w - - 0 27,g2f3 f8f4 d4g7 h8h7 e1e5 d7e5 g7e5 c7e5 f1e1 f4f3,2411,crushing fork master middlegame veryLong
00TEQ,r3k1nr/1bq2ppp/p2p4/1p2p1NQ/3nP3/1BN4P/PP3PP1/R2R2K1 b kq - 2 15,g8f6 h5f7 c7f7 g5f7,2314,advantage attackingF2F7 middlegame short
00VIe,8/8/8/P6p/8/2RnkN2/r7/3K4 w - - 1 60,f3e1 a2d2,1710,endgame mate mateIn1 oneMove vukovicMate
00X0Q,6R1/8/8/8/1KP5/3r4/PP3kp1/8 w - - 3 52,c4c5 d3g3 g8g3 f2g3 c5c6 g2g1q,1425,advancedPawn crushing endgame long promotion rookEndgame
00dzT,6k1/1Q4p1/p1p4p/3pP3/P3bq2/2N4P/1P4PK/5B2 w - - 1 26,h2h1 f4f1 h1h2 f1g2,862,endgame hangingPiece mate mateIn2 short
00fN7,N1bk4/pp1p1R2/5bB1/4p3/4n3/8/PB2r3/2K5 b - - 5 24,e2f2 f7f8 d8e7 f8e8 e7d6 g6e4 f2b2 c1b2,2361,advantage fork middlegame veryLong
00hbV,8/pk1r1bR1/1p6/8/2P2N2/1P6/1K6/8 b - - 21 60,f7e6 f4e6 d7g7 e6g7,928,crushing endgame hangingPiece master short
00kS9,4r1k1/1ppbrpp1/7p/p2P4/3q1P2/P2B1P2/1P1Q2PP/3RR2K w - - 5 26,d3h7 g8h7 e1e7 d4d2 d1d2 e8e7,1458,advantage hangingPiece long middlegame
00ns1,5rk1/pp5p/2p1P1p1/3pN3/5r2/2P4Q/PP4PP/R4q1K w - - 2 25,a1f1 f4f1,600,backRankMate endgame mate mateIn1 oneMove
00tB9,1k1r3r/1bq1b1p1/p2p4/2nBp1P1/4P3/4BP2/1PPQN3/2KR3R w - - 3 24,d5b7 c5b3 c1b1 b3d2,1323,advantage middlegame pin queensideAttack short
00zdb,2rqr1k1/pb3p2/1p4pp/n2p4/P1pRnN2/2P2N1P/BPQ2PP1/3R2K1 b - - 2 20,c8c5 d4e4 d5e4 d1d8,1819,advantage discoveredAttack master middlegame short
011J1,4R3/5ppk/7p/2p2q2/1n6/2Br2P1/5P1P/1Q4K1 w - - 0 35,c3b4 d3g3 f2g3 f5b1,1322,advantage discoveredAttack endgame short
01Bmi,rn1qk2r/ppp2ppp/5b2/3P4/4P3/5b1P/PPP1QPP1/RN2KB1R w KQkq - 0 10,e2f3 f6b2 f3b3 b2a1,1060,advantage middlegame short trappedPiece
01I9O,r5k1/1pp2r2/p3n3/3pP1qp/2P2R1P/8/PP1Q2P1/5RK1 b - - 0 22,g5h6 f4g4 h5g4 d2h6 f7f1 g1f1,1286,crushing discoveredAttack long middlegame
01KVi,2r3q1/1p6/p2p3R/3PpkP1/4np2/3B4/PP6/1K4R1 b - - 5 31,g8d5 h6f6,1252,endgame epauletteMate mate mateIn1 oneMove pin
01qI9,1r6/1n4p1/1P1p1kp1/4p3/4P3/3K1P1P/5BP1/2R5 w - - 11 46,d3c4 b8c8 c4b5 c8c1,1327,crushing endgame short skewer
01zU8,6k1/3bnppp/p4n2/1pp5/8/1BNP1N2/PPP2PPP/6K1 w - - 0 19,c3e4 f6e4 d3e4 c5c4 b3c4 b5c4,1275,advantage endgame long trappedPiece
0203f,r5k1/p2q2b1/1p4pR/2p1r3/2PpNp2/3P1P2/PPQ2KP1/7R b - - 0 25,g7h6 e4f6 g8g7 f6d7,1024,crushing fork middlegame short
029pZ,r4rk1/ppp2pbp/3q1np1/8/8/1P2P3/PBPPQ1PP/RN3RK1 w - - 3 13,e2f3 f6g4 f3g4 g7b2,1799,crushing discoveredAttack middlegame short
02Ewz,2k4r/pp4p1/2n5/2p1p2p/3pP1nq/3P4/PPPB2P1/R2Q1RK1 w - - 0 19,d1f3 h4h2,904,master mate mateIn1 middlegame oneMove
02FSn,r2qk2r/1pp3p1/p1nbbn1p/3p1p2/3P4/PQN1PN1P/1PPB1P2/R3KB1R w KQkq - 0 13,b3b7 c6a5 b7a8 d8a8,1405,crushing master middlegame short trappedPiece
02Oc8,8/Q5p1/4pk2/p2q4/P1pn4/8/5PPP/R5K1 w - - 2 29,a1d1 d4e2 g1f1 d5d1,1124,discoveredAttack endgame mate mateIn2 short
02R28,2Q2r2/6kp/3P4/pN1Qp2q/2P1P3/P3brPp/6bP/R3R1K1 w - - 1 32,e1e3 f3f1 a1f1 f8f1,1203,kingsideAttack mate mateIn2 middlegame operaMate short
02Wf7,r2qkb2/pp1bpp1p/3p4/3Qp3/2B5/2N5/PPP2PrP/2KR3R b q - 1 12,g2g8 d5f7,453,attackingF2F7 mate mateIn1 middlegame oneMove
02YSF,8/p5k1/2p1R1P1/3p4/3P4/r7/1r6/5RK1 b - - 5 32,b2c2 f1f7 g7h6 g6g7 h6h7 e6h6 h7h6 g7g8q,1970,advancedPawn crushing deflection discoveredAttack discoveredCheck endgame exposedKing promotion rookEndgame veryLong
02gXq,3r2k1/5ppp/p3p3/1qb1P3/8/2P1BQPP/8/5R1K b - - 3 26,c5e3 f3f7 g8h8 f7f8 d8f8 f1f8,938,backRankMate endgame long mate mateIn3 sacrifice
02lza,rQ4k1/5ppp/4p3/4P2P/4P3/p3P1P1/PR4K1/2qr4 b - - 1 29,a8b8 b2b8 c1c8 b8c8 d1d8 c8d8,472,backRankMate endgame long mate mateIn3 queenRookEndgame
02t9u,1r5r/7k/6pp/4P3/1b2Q3/1q2B3/5PPP/3RK2R w - - 2 27,e1f1 b3d1,514,hangingPiece mate mateIn1 middlegame oneMove
02vsr,4n1qk/pp2Q3/6pP/4Pb2/8/P4NK1/8/8 b - - 11 50,f5e4 f3g5 e4c6 e5e6,2094,crushing endgame short
02yeg,r4rk1/p1npqppp/b1n1p3/1p2P3/4N3/3Q1N2/PPB2PPP/R2R2K1 b - - 3 17,b5b4 e4f6 g7f6 d3h7,1807,discoveredAttack kingsideAttack mate mateIn2 middlegame sacrifice short
03EPr,3q2k1/1p3ppp/r7/3p4/rn1B4/4P1Q1/5PPP/R3R1K1 b - - 3 23,g7g6 a1a4 a6a4 g3e5 f7f6 e5e6 g8g7 d4f6 d8f6 e6d7,2141,crushing discoveredAttack fork middlegame sacrifice veryLong
03JlS,2rR2k1/p3rpp1/1p2bq1p/1N6/8/P3P3/1PQ2PPP/3R2K1 b - - 15 26,c8d8 d1d8 e7e8 d8e8,609,kingsideAttack master mate mateIn2 middlegame short
03Nb5,r1b2rk1/ppp2ppp/8/2bP4/7q/1B1Q4/PPP3PP/RNB1R2K w - - 1 15,b1c3 h4e1 d3f1 e1f1,812,hangingPiece kingsideAttack mate mateIn2 opening short
03PJo,5bkr/pb4pp/1p1qR3/2p5/2B5/2PP4/P1P2PPP/1RBK4 b - - 0 17,d6e6 c4e6,582,doubleBishopMate hangingPiece kingsideAttack mate mateIn1 middlegame oneMove
03Pkr,3q4/4kr2/p4N2/1pPpP3/3P2Q1/P7/5K2/8 b - - 10 44,d8f8 g4d7,804,endgame mate mateIn1 oneMove
03UDS,r3r2k/p1pR2p1/2p4p/5q2/8/2N5/PPP3PP/5R1K w - - 0 21,f1f5 e8e1 f5f1 e1f1,1151,backRankMate endgame mate mateIn2 short
